,target_30d
2008-11-23,1798.088
2008-11-24,1269.638
2008-11-25,1061.118
2008-11-26,1223.732
2008-11-27,2972.164
2008-11-28,1570.642
2008-11-29,555.278
2008-11-30,1195.238
2008-12-01,1964.188
2008-12-02,1406.692
2008-12-03,2327.51
2008-12-04,1913.496
2008-12-05,1939.994
2008-12-06,1604.0
2008-12-07,1689.862
2008-12-08,2080.272
2008-12-09,1633.27
2008-12-10,1788.702
2008-12-11,2102.948
2008-12-12,1975.988
2008-12-13,1589.278
2008-12-14,2182.6
2008-12-15,1776.282
2008-12-16,1564.068
2008-12-17,2766.554
2008-12-18,3317.82
2008-12-19,3154.194
2008-12-20,1699.866
2008-12-21,1738.028
2008-12-22,1739.434
2008-12-23,1237.356
2008-12-24,1910.536
2008-12-25,2200.77
2008-12-26,2843.664
2008-12-27,1674.472
2008-12-28,1425.03
2008-12-29,2721.734
2008-12-30,1573.698
2008-12-31,2059.038
2009-01-01,3312.852
2009-01-02,1807.46
2009-01-03,1603.3
2009-01-04,1868.39
2009-01-05,2460.924
2009-01-06,1649.088
2009-01-07,2048.396
2009-01-08,3131.536
2009-01-09,2182.866
2009-01-10,1706.638
2009-01-11,1943.822
2009-01-12,2639.39
2009-01-13,1968.66
2009-01-14,1690.022
2009-01-15,2332.594
2009-01-16,1586.032
2009-01-17,1318.994
2009-01-18,781.698
2009-01-19,826.45
2009-01-20,737.268
2009-01-21,1880.736
2009-01-22,1316.184
2009-01-23,2238.478
2009-01-24,2733.656
2009-01-25,1783.144
2009-01-26,1169.844
2009-01-27,1156.852
2009-01-28,2028.918
2009-01-29,1630.75
2009-01-30,2467.626
2009-01-31,1477.442
2009-02-01,1848.952
2009-02-02,1842.13
2009-02-03,1441.812
2009-02-04,1783.474
2009-02-05,1696.466
2009-02-06,2357.166
2009-02-07,1685.556
2009-02-08,1836.21
2009-02-09,2405.904
2009-02-10,1887.26
2009-02-11,1445.52
2009-02-12,2149.028
2009-02-13,1942.062
2009-02-14,1334.732
2009-02-15,1931.91
2009-02-16,1450.68
2009-02-17,1191.532
2009-02-18,1463.906
2009-02-19,1930.022
2009-02-20,1689.17
2009-02-21,1296.45
2009-02-22,1661.712
2009-02-23,1838.774
2009-02-24,1211.004
2009-02-25,1713.926
2009-02-26,2260.976
2009-02-27,2216.65
2009-02-28,1477.452
2009-03-01,1823.482
2009-03-02,1641.14
2009-03-03,1644.334
2009-03-04,1363.26
2009-03-05,2191.232
2009-03-06,1375.716
2009-03-07,1452.634
2009-03-08,1440.092
2009-03-09,1534.6
2009-03-10,1890.472
2009-03-11,1842.114
2009-03-12,2462.446
2009-03-13,2141.012
2009-03-14,1598.624
2009-03-15,1501.538
2009-03-16,1216.062
2009-03-17,1564.524
2009-03-18,2042.81
2009-03-19,1512.266
2009-03-20,1286.468
2009-03-21,1486.51
2009-03-22,1894.598
2009-03-23,1496.198
2009-03-24,1141.46
2009-03-25,1194.048
2009-03-26,2022.284
2009-03-27,1781.626
2009-03-28,1351.628
2009-03-29,1706.386
2009-03-30,1664.68
2009-03-31,1834.762
2009-04-01,1512.802
2009-04-02,1393.91
2009-04-03,1608.878
2009-04-04,1667.882
2009-04-05,1731.474
2009-04-06,1349.902
2009-04-07,1012.648
2009-04-08,1857.156
2009-04-09,1261.352
2009-04-10,1966.552
2009-04-11,1517.176
2009-04-12,1625.956
2009-04-13,1246.398
2009-04-14,1606.984
2009-04-15,1422.226
2009-04-16,2007.378
2009-04-17,1543.764
2009-04-18,1209.906
2009-04-19,1617.344
2009-04-20,1307.162
2009-04-21,1575.15
2009-04-22,1074.806
2009-04-23,1530.598
2009-04-24,1287.786
2009-04-25,1354.096
2009-04-26,1337.674
2009-04-27,1544.292
2009-04-28,1179.736
2009-04-29,1242.846
2009-04-30,1659.106
2009-05-01,956.89
2009-05-02,1443.26
2009-05-03,1090.638
2009-05-04,1356.578
2009-05-05,1035.66
2009-05-06,1230.36
2009-05-07,1475.45
2009-05-08,1207.392
2009-05-09,1178.776
2009-05-10,1332.85
2009-05-11,1602.996
2009-05-12,1300.65
2009-05-13,1101.732
2009-05-14,14.218
2009-05-15,0.0
2009-05-16,771.908
2009-05-17,1508.792
2009-05-18,988.016
2009-05-19,1165.7
2009-05-20,1086.866
2009-05-21,1107.1
2009-05-22,855.142
2009-05-23,1094.098
2009-05-24,1039.214
2009-05-25,1534.874
2009-05-26,771.362
2009-05-27,1277.322
2009-05-28,1709.052
2009-05-29,1059.394
2009-05-30,1010.134
2009-05-31,1192.446
2009-06-01,1218.342
2009-06-02,1242.578
2009-06-03,864.148
2009-06-04,1238.568
2009-06-05,1410.736
2009-06-06,954.26
2009-06-07,1110.136
2009-06-08,1234.4
2009-06-09,846.252
2009-06-10,1187.118
2009-06-11,993.968
2009-06-12,513.478
2009-06-13,496.746
2009-06-14,911.43
2009-06-15,718.074
2009-06-16,599.554
2009-06-17,731.808
2009-06-18,966.41
2009-06-19,1203.644
2009-06-20,662.486
2009-06-21,813.7620000000001
2009-06-22,739.532
2009-06-23,1030.0
2009-06-24,561.738
2009-06-25,536.688
2009-06-26,543.016
2009-06-27,688.566
2009-06-28,902.85
2009-06-29,902.0
2009-06-30,792.326
2009-07-01,975.83
2009-07-02,706.966
2009-07-03,489.724
2009-07-04,500.298
2009-07-05,508.892
2009-07-06,518.652
2009-07-07,532.672
2009-07-08,539.296
2009-07-09,526.472
2009-07-10,998.234
2009-07-11,1069.358
2009-07-12,950.954
2009-07-13,824.436
2009-07-14,606.842
2009-07-15,748.676
2009-07-16,1514.062
2009-07-17,1217.712
2009-07-18,785.908
2009-07-19,1080.598
2009-07-20,880.742
2009-07-21,775.722
2009-07-22,1161.746
2009-07-23,1548.738
2009-07-24,1066.708
2009-07-25,1252.254
2009-07-26,943.61
2009-07-27,1136.546
2009-07-28,749.466
2009-07-29,1118.842
2009-07-30,1388.414
2009-07-31,1668.342
2009-08-01,1265.522
2009-08-02,980.536
2009-08-03,1222.814
2009-08-04,1251.188
2009-08-05,1024.388
2009-08-06,1513.866
2009-08-07,1228.63
2009-08-08,1221.458
2009-08-09,1086.254
2009-08-10,1521.344
2009-08-11,1112.354
2009-08-12,1214.146
2009-08-13,2064.358
2009-08-14,1570.302
2009-08-15,1574.858
2009-08-16,1456.806
2009-08-17,1743.162
2009-08-18,1223.426
2009-08-19,1374.032
2009-08-20,2135.71
2009-08-21,2035.328
2009-08-22,1417.868
2009-08-23,1246.536
2009-08-24,1636.61
2009-08-25,1426.258
2009-08-26,1161.016
2009-08-27,1556.254
2009-08-28,1410.472
2009-08-29,1299.456
2009-08-30,1146.398
2009-08-31,1772.736
2009-09-01,1287.252
2009-09-02,1152.668
2009-09-03,1716.74
2009-09-04,1621.106
2009-09-05,1275.522
2009-09-06,1428.448
2009-09-07,1821.834
2009-09-08,1577.166
2009-09-09,1351.862
2009-09-10,2012.756
2009-09-11,1938.284
2009-09-12,1351.604
2009-09-13,1449.1
2009-09-14,1711.224
2009-09-15,1489.976
2009-09-16,1516.86
2009-09-17,2742.08
2009-09-18,1556.164
2009-09-19,1369.108
2009-09-20,1722.808
2009-09-21,1969.506
2009-09-22,1399.71
2009-09-23,1757.45
2009-09-24,2614.408
2009-09-25,2406.536
2009-09-26,1112.344
2009-09-27,1116.756
2009-09-28,1268.708
2009-09-29,1981.44
2009-09-30,1493.358
2009-10-01,1875.942
2009-10-02,1843.168
2009-10-03,1504.226
2009-10-04,2266.688
2009-10-05,1801.8
2009-10-06,1560.466
2009-10-07,1390.45
2009-10-08,1557.176
2009-10-09,2508.002
2009-10-10,1404.752
2009-10-11,1606.184
2009-10-12,2040.48
2009-10-13,1463.066
2009-10-14,1532.926
2009-10-15,2560.456
2009-10-16,1967.308
2009-10-17,1514.468
2009-10-18,1708.294
2009-10-19,2639.174
2009-10-20,1474.848
2009-10-21,1961.016
2009-10-22,2496.856
2009-10-23,2450.976
2009-10-24,1471.122
2009-10-25,2128.856
2009-10-26,1980.13
2009-10-27,1599.626
2009-10-28,1380.026
2009-10-29,1858.95
2009-10-30,1650.962
2009-10-31,1745.19
2009-11-01,1756.378
2009-11-02,2345.668
2009-11-03,1479.688
2009-11-04,1711.294
2009-11-05,2351.762
2009-11-06,2378.288
2009-11-07,1742.638
2009-11-08,2006.884
2009-11-09,1802.356
2009-11-10,2054.286
2009-11-11,1784.462
2009-11-12,1816.38
2009-11-13,2138.814
2009-11-14,1794.862
2009-11-15,1940.116
2009-11-16,1394.874
2009-11-17,1717.182
2009-11-18,1744.706
2009-11-19,2204.334
2009-11-20,1144.166
2009-11-21,2034.966
2009-11-22,1888.022
2009-11-23,1455.2
2009-11-24,2905.894
2009-11-25,2127.648
2009-11-26,2183.618
2009-11-27,2195.452
2009-11-28,2094.098
2009-11-29,2047.968
2009-11-30,2451.11
2009-12-01,2211.892
2009-12-02,1224.252
2009-12-03,1308.836
2009-12-04,2083.454
2009-12-05,1604.132
2009-12-06,2219.78
2009-12-07,1777.18
2009-12-08,1769.442
2009-12-09,1797.208
2009-12-10,2336.9
2009-12-11,2508.466
2009-12-12,1518.684
2009-12-13,1282.538
2009-12-14,0.0
2009-12-15,618.488
2009-12-16,2196.76
2009-12-17,2150.112
2009-12-18,1906.556
2009-12-19,1881.098
2009-12-20,2433.508
2009-12-21,2351.728
2009-12-22,2137.856
2009-12-23,1790.626
2009-12-24,2608.51
2009-12-25,2269.42
2009-12-26,1930.51
2009-12-27,2067.564
2009-12-28,2760.902
2009-12-29,2110.234
2009-12-30,2092.99
2009-12-31,2842.728
2010-01-01,1799.196
2010-01-02,1693.778
2010-01-03,2157.432
2010-01-04,2903.014
2010-01-05,2316.27
2010-01-06,2098.892
2010-01-07,2712.986
2010-01-08,1625.708
2010-01-09,2582.238
2010-01-10,2420.932
2010-01-11,1944.542
2010-01-12,1369.768
2010-01-13,1892.998
2010-01-14,2351.556
2010-01-15,1686.698
2010-01-16,2097.132
2010-01-17,1797.756
2010-01-18,2054.56
2010-01-19,1761.156
2010-01-20,1953.572
2010-01-21,1983.728
2010-01-22,2740.314
2010-01-23,1474.036
2010-01-24,1461.28
2010-01-25,1914.278
2010-01-26,1880.204
2010-01-27,2120.156
2010-01-28,1765.056
2010-01-29,711.666
2010-01-30,1298.728
2010-01-31,766.9060000000001
2010-02-01,935.834
2010-02-02,682.88
2010-02-03,1133.726
